card_id,keyword
aether-tunnel,Enchant
aether-web,Enchant
aether-web,Flash
aetherblade-agent-gitaxian-mindstinger,Deathtouch
aetherblade-agent-gitaxian-mindstinger,Transform
aetherborn-marauder,Flying
aetherborn-marauder,Lifelink
aetherflame-wall,Defender
aetherjacket,Flying
aetherjacket,Vigilance
aethersnipe,Evoke
aethersphere-harvester,Crew
aethersphere-harvester,Flying
aethersquall-ancient,Flying
aetherstorm-roc,Flying
aetherstream-leopard,Trample
aethertide-whale,Flying
aethertow,Conspire
aetherwind-basker,Trample
aettir-and-priwen,Equip
aeve-progenitor-ooze,Storm
affa-guard-hound,Flash
affa-protector,Vigilance
affectionate-indrik,Fight
afflicted-deserter-werewolf-ransacker,Transform
afterburner-expert,Exhaust
afterlife-from-the-loam,Delve
aftermath-analyst,Mill
agate-instigator,Offspring
agatha-s-champion,Bargain
agatha-s-champion,Fight
agatha-s-champion,Trample
ageless-sentinels,Defender
ageless-sentinels,Flying
agency-outfitter,Flying
agent-frank-horrigan,Proliferate
agent-frank-horrigan,Trample
agent-of-erebos,Constellation
agent-of-kotis,Renew
agent-of-the-fates,Deathtouch
agent-of-the-fates,Heroic
agent-venom,Flash
agent-venom,Menace
aggression,Enchant
aggressive-biomancy,Fight
aggressive-mammoth,Trample
aggressive-sabotage,Kicker
agility,Enchant
agitator-ant,Goad
agonasaur-rex,Cycling
agonasaur-rex,Trample
agonizing-demise,Kicker
agoraphobia,Enchant
agrus-kos-eternal-soldier,Vigilance
agrus-kos-spirit-of-justice,Double strike
agrus-kos-spirit-of-justice,Suspect
agrus-kos-spirit-of-justice,Vigilance
ahn-crop-champion,Exert
ahn-crop-crasher,Exert
ahn-crop-crasher,Haste
ahriman,Deathtouch
ahriman,Flying
aid-from-the-cowl,Revolt
ainok-bond-kin,Outlast
ainok-survivalist,Megamorph
ainok-tracker,First strike
ainok-tracker,Morph
ainok-wayfarer,Mill
air-bladder,Enchant
air-cult-elemental,Flying
air-elemental,Flying
air-nomad-student,Flying
air-response-unit,Crew
air-response-unit,Flying
air-response-unit,Vigilance
air-servant,Flying
airbender-ascension,Airbend
airbender-s-reversal,Airbend
airbending-lesson,Airbend
airdrop-aeronauts,Flying
airdrop-aeronauts,Revolt
airdrop-condor,Flying
airlift-chaplain,Flying
airlift-chaplain,Mill
airship-crash,Cycling
airtight-alibi,Enchant
airtight-alibi,Flash
aisha-of-sparks-and-smoke,Prowess
ajani-nacatl-pariah-ajani-nacatl-avenger,Transform
ajani-s-comrade,Trample
ajani-s-presence,Strive
ajani-s-sunstriker,Lifelink
ajani-sleeper-agent,Compleated
akawalli-the-seething-tower,Descend
akim-the-soaring-wind,Flying
akiri-line-slinger,First strike
akiri-line-slinger,Partner
akiri-line-slinger,Vigilance
akki-coalflinger,First strike
akki-lavarunner-tok-tok-volcano-born,Haste
akki-lavarunner-tok-tok-volcano-born,Protection
akki-war-paint,Enchant
akoum-battlesinger,Haste
akoum-firebird,Flying
akoum-firebird,Haste
akoum-firebird,Landfall
akoum-flameseeker,Cohort
akoum-hellhound,Landfall
akoum-hellkite,Flying
akoum-hellkite,Landfall
akoum-stonewaker,Landfall
akoum-warrior-akoum-teeth,Trample
akrasan-squire,Exalted
akroan-conscriptor,Heroic
akroan-crusader,Heroic
akroan-horse,Defender
akroan-line-breaker,Heroic
akroan-phalanx,Vigilance
akroan-sergeant,First strike
akroan-sergeant,Renown
akroan-skyguard,Flying
akroan-skyguard,Heroic
akroma-angel-of-fury,Flying
akroma-angel-of-fury,Morph
akroma-angel-of-fury,Protection
akroma-angel-of-fury,Trample
akroma-angel-of-wrath,First strike
akroma-angel-of-wrath,Flying
akroma-angel-of-wrath,Haste
akroma-angel-of-wrath,Protection
akroma-angel-of-wrath,Trample
akroma-angel-of-wrath,Vigilance
akroma-s-blessing,Cycling
akroma-s-vengeance,Cycling
akroma-vision-of-ixidor,First strike
akroma-vision-of-ixidor,Flying
akroma-vision-of-ixidor,Partner
akroma-vision-of-ixidor,Trample
akroma-vision-of-ixidor,Vigilance
aku-djinn,Trample
akul-the-unrepentant,Flying
akul-the-unrepentant,Trample
akuta-born-of-ash,Haste
alabaster-dragon,Flying
alabaster-host-intercessor,Cycling
alabaster-host-intercessor,Landcycling
alabaster-host-intercessor,Plainscycling
alabaster-host-intercessor,Typecycling
alabaster-host-sanctifier,Lifelink
alabaster-kirin,Flying
alabaster-kirin,Vigilance
alabaster-wall,Defender
alaborn-grenadier,Vigilance
alaborn-musketeer,Reach
alacrian-jaguar,Saddle
alacrian-jaguar,Vigilance
albino-troll,Echo
alchemist-s-assistant,Lifelink
alchemist-s-assistant,Renew
alchemist-s-gambit,Cleave
alchemist-s-greeting,Madness
alchemist-s-retrieval,Cleave
alchemist-s-talent,Treasure
alela-artful-provocateur,Deathtouch
alela-artful-provocateur,Flying
alela-artful-provocateur,Lifelink
alela-cunning-conqueror,Flying
alela-cunning-conqueror,Goad
alena-kessig-trapper,First strike
alena-kessig-trapper,Partner
alert-heedbonder,Vigilance
alert-shu-infantry,Vigilance
alesha-s-vanguard,Dash
alesha-who-laughs-at-fate,First strike
alesha-who-laughs-at-fate,Raid
alesha-who-smiles-at-death,First strike
alexi-s-cloak,Enchant
alexi-s-cloak,Flash
alexios-deimos-of-kosmos,Trample
algae-gharial,Shroud
alhammarret-high-arbiter,Flying
alharu-solemn-ritualist,Partner
alibou-ancient-witness,Scry
alien-symbiosis,Enchant
aligned-heart,Flurry
alisaie-leveilleur,First strike
alisaie-leveilleur,Partner
alisaie-leveilleur,Partner with
alive-well,Fuse
all-fates-stalker,Warp
all-of-history-all-at-once,Storm
all-of-history-all-at-once,Time Travel
all-seeing-arbiter,Flying
all-that-glitters,Enchant
allay,Buyback
alley-assailant,Disguise
alley-strangler,Menace
alliance-of-arms,Join forces
allied-strategies,Domain
allies-at-last,Affinity
alluring-suitor-deadly-dancer,Trample
alluring-suitor-deadly-dancer,Transform
almighty-brushwagg,Trample
almost-perfect,Enchant
alms-collector,Flash
alms-of-the-vein,Madness
aloe-alchemist,Plot
aloe-alchemist,Trample
alora-merry-thief,Choose a background
aloy-savior-of-meridian,Discover
aloy-savior-of-meridian,Reach
aloy-savior-of-meridian,Vigilance
alpha-authority,Enchant
alpha-deathclaw,Menace
alpha-deathclaw,Monstrosity
alpha-deathclaw,Trample
alpha-status,Enchant
alpharael-stonechosen,Void
alpharael-stonechosen,Ward
alphinaud-leveilleur,Partner
alphinaud-leveilleur,Partner with
alphinaud-leveilleur,Vigilance
alpine-watchdog,Vigilance
alquist-proft-master-sleuth,Investigate
alquist-proft-master-sleuth,Vigilance
alrund-god-of-the-cosmos-hakka-whispering-raven,Flying
alrund-god-of-the-cosmos-hakka-whispering-raven,Scry
alrund-s-epiphany,Foretell
alseid-of-life-s-bounty,Lifelink
altair-ibn-la-ahad,First strike
altanak-the-thrice-called,Trample
altar-golem,Trample
altar-of-dementia,Mill
altar-of-the-brood,Mill
altar-of-the-wretched-wretched-bonemass,Craft
altar-of-the-wretched-wretched-bonemass,Mill
alter-reality,Flashback
amalia-benavides-aguirre,Explore
amalia-benavides-aguirre,Ward
amarant-coral,Trample
amaranthine-wall,Defender
amareth-the-lustrous,Flying
ambassador-laquatus,Mill
amber-gristle-o-maul,Choose a background
amber-gristle-o-maul,Haste
ambitious-aetherborn,Fabricate
ambitious-farmhand-seasoned-cathar,Coven
ambitious-farmhand-seasoned-cathar,Lifelink
ambitious-farmhand-seasoned-cathar,Transform
ambling-stormshell,Ward
ambrosia-whiteheart,Flash
ambrosia-whiteheart,Landfall
ambuscade-shaman,Dash
ambush-gigapede,Flash
ambush-krotiq,Trample
ambush-paratrooper,Flash
ambush-paratrooper,Flying
ambush-party,First strike
ambush-party,Haste
ambush-viper,Deathtouch
ambush-viper,Flash
ambush-wolf,Flash
amethyst-dragon-explosive-crystal,Flying
amethyst-dragon-explosive-crystal,Haste
aminatou-veil-piercer,Surveil
ammit-eternal,Afflict
amoeboid-changeling,Changeling
amonkhet-raceway,Max speed
amonkhet-raceway,Start your engines!
amorphous-axe,Equip
amped-raptor,First strike
amphibian-downpour,Enchant
amphibian-downpour,Flash
amphibian-downpour,Storm
amphin-mutineer,Encore
amugaba,Flying
amy-pond,Doctor's companion
amy-pond,Partner
amy-pond,Partner with
amy-rose,Haste
amzu-swarm-s-hunger,Flying
amzu-swarm-s-hunger,Menace
an-offer-you-can-t-refuse,Treasure
ana-battlemage,Kicker
anaba-bodyguard,First strike
anaconda,Landwalk
anaconda,Swampwalk
anafenza-kin-tree-spirit,Bolster
anafenza-unyielding-lineage,Endure
anafenza-unyielding-lineage,First strike
anafenza-unyielding-lineage,Flash
analyze-the-pollen,Collect evidence
anara-wolvid-familiar,Partner
anathemancer,Unearth
anavolver,Kicker
anax-and-cymede,First strike
anax-and-cymede,Heroic
anax-and-cymede,Vigilance
ancestor-dragon,Flying
ancestor-s-chosen,First strike
ancestors-aid,Treasure
ancestral-blade,Equip
ancestral-katana,Equip
ancestral-knowledge,Cumulative upkeep
ancestral-mask,Enchant
ancestral-tribute,Flashback
ancestral-vengeance,Enchant
ancestral-vision,Suspend
anchor-to-reality,Scry
anchor-to-the-aether,Scry
ancient-adamantoise,Treasure
ancient-adamantoise,Vigilance
ancient-adamantoise,Ward
ancient-animus,Fight
ancient-brass-dragon,Flying
ancient-bronze-dragon,Flying
ancient-copper-dragon,Flying
ancient-copper-dragon,Treasure
ancient-excavation,Basic landcycling
ancient-excavation,Cycling
ancient-excavation,Landcycling
ancient-excavation,Typecycling
ancient-gold-dragon,Flying
ancient-greenwarden,Reach
ancient-grudge,Flashback
ancient-hellkite,Flying
ancient-hydra,Fading
ancient-imperiosaur,Convoke
ancient-imperiosaur,Trample
ancient-imperiosaur,Ward
ancient-silver-dragon,Flying
ancient-spider,First strike
ancient-spider,Reach
ancient-stone-idol,Flash
ancient-stone-idol,Trample
anduril-flame-of-the-west,Equip
anduril-narsil-reforged,Ascend
anduril-narsil-reforged,Equip
anep-vizier-of-hazoret,Exert
anep-vizier-of-hazoret,Trample
angel-of-condemnation,Flying
angel-of-condemnation,Vigilance
angel-of-deliverance,Delirium
angel-of-deliverance,Flying
angel-of-despair,Flying
angel-of-destiny,Double strike
angel-of-destiny,Flying
angel-of-finality,Flying
angel-of-flight-alabaster,Flying
angel-of-fury,Flying
angel-of-glory-s-rise,Flying
angel-of-grace,Flash
angel-of-grace,Flying
angel-of-indemnity,Encore
angel-of-indemnity,Flying
angel-of-indemnity,Lifelink
angel-of-invention,Fabricate
angel-of-invention,Flying
angel-of-invention,Lifelink
angel-of-invention,Vigilance
angel-of-jubilation,Flying
angel-of-light,Flying
angel-of-light,Vigilance
angel-of-mercy,Flying
angel-of-renewal,Flying
angel-of-retribution,First strike
angel-of-retribution,Flying
angel-of-salvation,Convoke
angel-of-salvation,Flash
angel-of-salvation,Flying
angel-of-sanctions,Embalm
angel-of-sanctions,Flying
angel-of-serenity,Flying
angel-of-suffering,Flying
angel-of-suffering,Mill
angel-of-the-dawn,Flying
angel-of-the-dire-hour,Flash
angel-of-the-dire-hour,Flying
angel-of-the-god-pharaoh,Cycling
angel-of-the-god-pharaoh,Flying
angel-of-the-ruins,Cycling
angel-of-the-ruins,Flying
angel-of-the-ruins,Landcycling
angel-of-the-ruins,Plainscycling
angel-of-the-ruins,Typecycling
angel-of-vitality,Flying
angel-s-grace,Split second
angelfire-ignition,Flashback
angelic-aberration,Devoid
angelic-aberration,Flying
angelic-aberration,Vigilance
angelic-arbiter,Flying
angelic-armaments,Equip
angelic-benediction,Exalted
angelic-captain,Flying
angelic-curator,Flying
angelic-curator,Protection
angelic-destiny,Enchant
angelic-field-marshal,Flying
angelic-field-marshal,Lieutenant
angelic-gift,Enchant
angelic-guardian,Flying
angelic-observer,Affinity
angelic-observer,Flying
angelic-overseer,Flying
angelic-page,Flying
angelic-protector,Flying
angelic-quartermaster,Flying
angelic-sell-sword,Flying
angelic-sell-sword,Vigilance
angelic-skirmisher,Flying
angelic-skirmisher,Vigilance
angelic-sleuth,Flying
angelic-sleuth,Investigate
angelic-wall,Defender
angelic-wall,Flying
angelsong,Cycling
anger,Haste
angler-drake,Flying
angler-turtle,Hexproof
angrath-captain-of-chaos,Amass
angry-mob,Trample
angry-rabble,Trample
anhelo-the-painter,Deathtouch
anikthea-hand-of-erebos,Menace
animal-boneyard,Enchant
animal-friend,Enchant
animar-soul-of-elements,Protection
animate-artifact,Enchant
animate-dead,Enchant
animate-wall,Enchant
animating-faerie-bring-to-life,Flying
animist-s-awakening,Spell mastery
anje-falkenrath,Haste
anje-s-ravager,Madness
ankle-biter,Deathtouch
ankle-shanker,Haste
annex,Enchant
annex-sentry,Toxic
annie-flash-the-veteran,Flash
annoyed-altisaur,Cascade
annoyed-altisaur,Reach
annoyed-altisaur,Trample
anoint,Buyback
anoint-with-affliction,Corrupted
anointed-chorister,Lifelink
anointed-peacekeeper,Vigilance
anointer-of-valor,Flying
anointer-priest,Embalm
another-chance,Mill
anowon-the-ruin-thief,Mill
anrakyr-the-traveller,Lord of the Pyrrhian Legions
anthem-of-rakdos,Hellbent
anthousa-setessan-hero,Heroic
anthropede,Reach
anti-magic-aura,Enchant
anticausal-vestige,Warp
anticognition,Scry
anurid-barkripper,Threshold
anurid-murkdiver,Landwalk
anurid-murkdiver,Swampwalk
anurid-scavenger,Protection
anurid-swarmsnapper,Reach
anvilwrought-raptor,First strike
anvilwrought-raptor,Flying
anya-merciless-angel,Flying
ao-the-dawn-sky,Flying
ao-the-dawn-sky,Vigilance
apathy,Enchant
apex-altisaur,Enrage
apex-altisaur,Fight
apex-devastator,Cascade
apex-hawks,Flying
apex-hawks,Multikicker
aphelia-viper-whisperer,Deathtouch
aphemia-the-cacophony,Flying
aphetto-alchemist,Morph
aphetto-exterminator,Morph
aphetto-vulture,Flying
apocalypse-demon,Flying
apocalypse-runner,Crew
apostle-of-invasion,Corrupted
apostle-of-invasion,Flying
apostle-of-purifying-light,Protection
apothecary-geist,Flying
apothecary-stomper,Vigilance
apothecary-white,Food
apothecary-white,Vigilance
appa-aang-s-companion,Flying
appa-loyal-sky-bison,Airbend
appa-loyal-sky-bison,Flying
appa-steadfast-guardian,Airbend
appa-steadfast-guardian,Flash
appa-steadfast-guardian,Flying
appa-the-vigilant,Flying
appa-the-vigilant,Vigilance
appeal-authority,Aftermath
appeal-to-eirdu,Convoke
appendage-amalgam,Flash
appendage-amalgam,Surveil
apprentice-sharpshooter,Reach
apprentice-sharpshooter,Training
april-o-neil-kunoichi-trainee,Scry
april-o-neil-live-on-the-scene,Investigate
april-o-neil-live-on-the-scene,Partner
aquamorph-entity,Morph
aquastrand-spider,Graft
aqueous-form,Enchant
aqueous-form,Scry
aquitect-s-defenses,Enchant
aquitect-s-defenses,Flash
araba-mothrider,Bushido
araba-mothrider,Flying
arachne-psionic-weaver,Web-slinging
arachnoform,Enchant
arachnoid,Reach
arachnus-spinner,Reach
arachnus-web,Enchant
aradara-express,Crew
aradara-express,Menace
aradesh-the-founder,Enlist
aragorn-and-arwen-wed,Vigilance
aragorn-company-leader,Deathtouch
aragorn-company-leader,Vigilance
aragorn-king-of-gondor,Lifelink
aragorn-king-of-gondor,Vigilance
aragorn-the-uniter,Scry
arahbo-roar-of-the-world,Eminence
arashi-the-sky-asunder,Channel
arashin-foremost,Double strike
arashin-sovereign,Flying
arashin-war-beast,Manifest
arasta-of-the-endless-web,Reach
arbiter-of-knollridge,Vigilance
arbiter-of-the-ideal,Flying
arbiter-of-the-ideal,Inspired
arbiter-of-woe,Flying
arbor-colossus,Monstrosity
arbor-colossus,Reach
arborback-stomper,Trample
arborea-pegasus,Flying
arboreal-alliance,Populate
arboreal-grazer,Reach
arboretum-elemental,Convoke
arboretum-elemental,Hexproof
arc-blade,Suspend
arc-runner,Haste
arc-spitter,Equip
arcade-gannon,For Auld Lang Syne
arcades-sabboth,Flying
arcades-the-strategist,Flying
arcades-the-strategist,Vigilance
arcane-flight,Enchant
arcane-heist,Cipher
arcane-infusion,Flashback
arcane-proxy,Prototype
arcane-subtraction,Learn
arcane-teachings,Enchant
arcanist-s-owl,Flying
arcanum-wings,Aura Swap
arcanum-wings,Enchant
arcbound-bruiser,Modular
arcbound-condor,Flying
arcbound-condor,Modular
arcbound-crusher,Modular
arcbound-crusher,Trample
arcbound-fiend,Fear
arcbound-fiend,Modular
arcbound-hybrid,Haste
arcbound-hybrid,Modular
arcbound-javelineer,Modular
arcbound-lancer,First strike
arcbound-lancer,Modular
arcbound-mouser,Lifelink
arcbound-mouser,Modular
arcbound-overseer,Modular
arcbound-prototype,Modular
arcbound-ravager,Modular
arcbound-reclaimer,Modular
arcbound-shikari,First strike
arcbound-shikari,Modular
arcbound-slasher,Modular
arcbound-slasher,Riot
arcbound-slith,Modular
arcbound-stinger,Flying
arcbound-stinger,Modular
arcbound-tracker,Menace
arcbound-tracker,Modular
arcbound-wanderer,Modular
arcbound-wanderer,Sunburst
arcbound-whelp,Flying
arcbound-whelp,Modular
arcbound-worker,Modular
arcee-sharpshooter-arcee-acrobatic-coupe,Convert
arcee-sharpshooter-arcee-acrobatic-coupe,First strike
arcee-sharpshooter-arcee-acrobatic-coupe,Living metal
arcee-sharpshooter-arcee-acrobatic-coupe,More Than Meets the Eye
arch-of-orazca,Ascend
archangel,Flying
archangel,Vigilance
archangel-avacyn-avacyn-the-purifier,Flash
archangel-avacyn-avacyn-the-purifier,Flying
archangel-avacyn-avacyn-the-purifier,Transform
archangel-avacyn-avacyn-the-purifier,Vigilance
archangel-of-strife,Flying
archangel-of-thune,Flying
archangel-of-thune,Lifelink
archangel-of-tithes,Flying
archangel-of-wrath,Flying
archangel-of-wrath,Kicker
archangel-of-wrath,Lifelink
archdemon-of-paliano,Flying
archdemon-of-unx,Flying
archdemon-of-unx,Trample
archers-of-qarsi,Defender
archers-of-qarsi,Reach
archers-parapet,Defender
archery-training,Enchant
archfiend-of-depravity,Flying
archfiend-of-despair,Flying
archfiend-of-ifnir,Cycling
archfiend-of-ifnir,Flying
archfiend-of-sorrows,Flying
archfiend-of-sorrows,Unearth
archfiend-of-spite,Flying
archfiend-of-spite,Madness
archfiend-of-the-dross,Flying
archfiend-s-vessel,Lifelink
archipelagore,Mutate
architect-of-the-untamed,Landfall
architects-of-will,Cycling
archive-dragon,Flying
archive-dragon,Scry
archive-dragon,Ward
archive-trap,Mill
archivist-of-oghma,Flash
archmage-emeritus,Magecraft
archmage-of-echoes,Flying
archmage-of-echoes,Ward
archmage-s-newt,Saddle
archon-of-absolution,Flying
archon-of-absolution,Protection
archon-of-coronation,Flying
archon-of-cruelty,Flying
archon-of-emeria,Flying
archon-of-falling-stars,Flying
archon-of-justice,Flying
archon-of-redemption,Flying
archon-of-sun-s-grace,Constellation
archon-of-sun-s-grace,Flying
archon-of-sun-s-grace,Lifelink
archon-of-the-triumvirate,Detain
archon-of-the-triumvirate,Flying
archon-of-the-wild-rose,Flying
archon-of-valor-s-reach,Flying
archon-of-valor-s-reach,Trample
archon-of-valor-s-reach,Vigilance
archon-s-glory,Bargain
archpriest-of-shadows,Backup
archpriest-of-shadows,Deathtouch
archway-angel,Flying
archweaver,Reach
archweaver,Trample
archwing-dragon,Flying
archwing-dragon,Haste
arclight-phoenix,Flying
arclight-phoenix,Haste
arco-flagellant,Endurant
arco-flagellant,Squad
arctic-aven,Flying
arctic-merfolk,Kicker
arctic-nishoba,Cumulative upkeep
arctic-nishoba,Trample
arctic-wolves,Cumulative upkeep
arcus-acolyte,Lifelink
arcus-acolyte,Outlast
arcus-acolyte,Reach
arden-angel,Flying
ardenn-intrepid-archaeologist,Partner
ardent-militia,Vigilance
ardent-plea,Cascade
ardent-plea,Exalted
ardent-recruit,Metalcraft
ardent-soldier,Kicker
ardent-soldier,Vigilance
ardenvale-paladin,Adamant
ardenvale-tactician-dizzying-swoop,Flying
ardoz-cobbler-of-war,Haste
ardyn-the-usurper,Starscourge
arena,Fight
arena-athlete,Heroic
argent-sphinx,Flying
argent-sphinx,Metalcraft
argentum-armor,Equip
argentum-masticore,First strike
argentum-masticore,Protection
argivian-cavalier,Enlist
argivian-phalanx,Affinity
argivian-phalanx,Vigilance
argoth-sanctum-of-nature-titania-gaea-incarnate,Mill
argothian-enchantress,Shroud
argothian-swine,Trample
argothian-wurm,Trample
arguel-s-blood-fast-temple-of-aclazotz,Transform
arid-archway,Surveil
arjun-the-shifting-flame,Flying
arlinn-kord-arlinn-embraced-by-the-moon,Transform
arlinn-the-pack-s-hope-arlinn-the-moon-s-fury,Daybound
arlinn-the-pack-s-hope-arlinn-the-moon-s-fury,Nightbound
arm-mounted-anchor,Equip
armada-wurm,Trample
armadillo-cloak,Enchant
armaggon-future-shark,Flash
armament-dragon,Flying
armament-of-nyx,Enchant
armasaur-guide,Vigilance
armed-dangerous,Fuse
armed-with-proof,Investigate
armguard-familiar,Reconfigure
armguard-familiar,Ward
armix-filigree-thrasher,Partner
armor-of-faith,Enchant
armor-of-thorns,Enchant
armored-armadillo,Ward
armored-ascension,Enchant
armored-griffin,Flying
armored-griffin,Vigilance
armored-pegasus,Flying
armored-skaab,Mill
armored-skyhunter,Flying
armory-mice,Celebration
armory-of-iroas,Equip
armory-paladin,Trample
